quarter,metric,first_release_date,first_value,latest_value,last_update_date,base_year
2017-Q1,sector_mining_yoy,2026-05-30,1.0,1.0,2026-06-13,2015
2017-Q2,sector_mining_yoy,2026-05-30,-0.5,-0.5,2026-06-13,2015
2017-Q3,sector_mining_yoy,2026-05-30,2.3,2.3,2026-06-13,2015
2017-Q4,sector_mining_yoy,2026-05-30,-0.9,-0.9,2026-06-13,2015
2018-Q1,sector_mining_yoy,2026-05-30,-2.4,-2.4,2026-06-13,2015
2018-Q2,sector_mining_yoy,2026-05-30,-1.3,-1.3,2026-06-13,2015
2018-Q3,sector_mining_yoy,2026-05-30,-4.9,-4.9,2026-06-13,2015
2018-Q4,sector_mining_yoy,2026-05-30,-0.1,-0.1,2026-06-13,2015
2019-Q1,sector_mining_yoy,2026-05-30,0.1,0.1,2026-06-13,2015
2019-Q2,sector_mining_yoy,2026-05-30,2.4,2.4,2026-06-13,2015
2019-Q3,sector_mining_yoy,2026-05-30,-2.8,-2.8,2026-06-13,2015
2019-Q4,sector_mining_yoy,2026-05-30,-2.4,-2.4,2026-06-13,2015
2020-Q1,sector_mining_yoy,2026-05-30,-2.9,-2.9,2026-06-13,2015
2020-Q2,sector_mining_yoy,2026-05-30,-19.2,-19.2,2026-06-13,2015
2020-Q3,sector_mining_yoy,2026-05-30,-6.6,-6.6,2026-06-13,2015
2020-Q4,sector_mining_yoy,2026-05-30,-9.8,-9.8,2026-06-13,2015
2021-Q1,sector_mining_yoy,2026-05-30,-3.3,-3.3,2026-06-13,2015
2021-Q2,sector_mining_yoy,2026-05-30,12.6,12.6,2026-06-13,2015
2021-Q3,sector_mining_yoy,2026-05-30,-3.6,-3.6,2026-06-13,2015
2021-Q4,sector_mining_yoy,2026-05-30,-0.9,-0.9,2026-06-13,2015
2022-Q1,sector_mining_yoy,2026-05-30,-1.0,-1.0,2026-06-13,2015
2022-Q2,sector_mining_yoy,2026-05-30,-1.7,-1.7,2026-06-13,2015
2022-Q3,sector_mining_yoy,2026-05-30,10.4,10.4,2026-06-13,2015
2022-Q4,sector_mining_yoy,2026-05-30,7.3,7.3,2026-06-13,2015
2023-Q1,sector_mining_yoy,2026-05-30,3.0,3.0,2026-06-13,2015
2023-Q2,sector_mining_yoy,2026-05-30,-2.2,-2.2,2026-06-13,2015
2023-Q3,sector_mining_yoy,2026-05-30,-2.0,-2.0,2026-06-13,2015
2023-Q4,sector_mining_yoy,2026-05-30,3.1,3.1,2026-06-13,2015
2024-Q1,sector_mining_yoy,2026-05-30,4.1,4.1,2026-06-13,2015
2024-Q2,sector_mining_yoy,2026-05-30,2.7,2.7,2026-06-13,2015
2024-Q3,sector_mining_yoy,2026-05-30,-2.4,-2.4,2026-06-13,2015
2024-Q4,sector_mining_yoy,2026-05-30,0.2,0.2,2026-06-13,2015
2025-Q1,sector_mining_yoy,2026-05-30,-2.6,-2.6,2026-06-13,2015
2025-Q2,sector_mining_yoy,2026-05-30,-5.2,-5.2,2026-06-13,2015
2025-Q3,sector_mining_yoy,2026-05-30,9.4,9.4,2026-06-13,2015
2025-Q4,sector_mining_yoy,2026-05-30,1.4,1.4,2026-06-13,2015
2026-Q1,sector_mining_yoy,2026-05-30,-2.1,-2.1,2026-06-13,2015
2016-Q1,sector_manufacturing_yoy,2026-05-30,4.5,4.5,2026-06-13,2015
2016-Q2,sector_manufacturing_yoy,2026-05-30,3.8,3.8,2026-06-13,2015
2016-Q3,sector_manufacturing_yoy,2026-05-30,4.2,4.2,2026-06-13,2015
2016-Q4,sector_manufacturing_yoy,2026-05-30,5.1,5.1,2026-06-13,2015
2017-Q1,sector_manufacturing_yoy,2026-05-30,5.9,5.9,2026-06-13,2015
2017-Q2,sector_manufacturing_yoy,2026-05-30,6.0,6.0,2026-06-13,2015
2017-Q3,sector_manufacturing_yoy,2026-05-30,7.0,7.0,2026-06-13,2015
2017-Q4,sector_manufacturing_yoy,2026-05-30,5.3,5.3,2026-06-13,2015
2018-Q1,sector_manufacturing_yoy,2026-05-30,5.2,5.2,2026-06-13,2015
2018-Q2,sector_manufacturing_yoy,2026-05-30,4.8,4.8,2026-06-13,2015
2018-Q3,sector_manufacturing_yoy,2026-05-30,5.0,5.0,2026-06-13,2015
2018-Q4,sector_manufacturing_yoy,2026-05-30,4.7,4.7,2026-06-13,2015
2019-Q1,sector_manufacturing_yoy,2026-05-30,4.1,4.1,2026-06-13,2015
2019-Q2,sector_manufacturing_yoy,2026-05-30,4.3,4.3,2026-06-13,2015
2019-Q3,sector_manufacturing_yoy,2026-05-30,3.6,3.6,2026-06-13,2015
2019-Q4,sector_manufacturing_yoy,2026-05-30,3.0,3.0,2026-06-13,2015
2020-Q1,sector_manufacturing_yoy,2026-05-30,1.3,1.3,2026-06-13,2015
2020-Q2,sector_manufacturing_yoy,2026-05-30,-18.6,-18.6,2026-06-13,2015
2020-Q3,sector_manufacturing_yoy,2026-05-30,3.2,3.2,2026-06-13,2015
2020-Q4,sector_manufacturing_yoy,2026-05-30,3.0,3.0,2026-06-13,2015
2021-Q1,sector_manufacturing_yoy,2026-05-30,6.6,6.6,2026-06-13,2015
2021-Q2,sector_manufacturing_yoy,2026-05-30,26.7,26.7,2026-06-13,2015
2021-Q3,sector_manufacturing_yoy,2026-05-30,-0.9,-0.9,2026-06-13,2015
2021-Q4,sector_manufacturing_yoy,2026-05-30,9.1,9.1,2026-06-13,2015
2022-Q1,sector_manufacturing_yoy,2026-05-30,6.7,6.7,2026-06-13,2015
2022-Q2,sector_manufacturing_yoy,2026-05-30,9.3,9.3,2026-06-13,2015
2022-Q3,sector_manufacturing_yoy,2026-05-30,13.2,13.2,2026-06-13,2015
2022-Q4,sector_manufacturing_yoy,2026-05-30,4.0,4.0,2026-06-13,2015
2023-Q1,sector_manufacturing_yoy,2026-05-30,3.2,3.2,2026-06-13,2015
2023-Q2,sector_manufacturing_yoy,2026-05-30,0.1,0.1,2026-06-13,2015
2023-Q3,sector_manufacturing_yoy,2026-05-30,-0.1,-0.1,2026-06-13,2015
2023-Q4,sector_manufacturing_yoy,2026-05-30,-0.3,-0.3,2026-06-13,2015
2024-Q1,sector_manufacturing_yoy,2026-05-30,2.1,2.1,2026-06-13,2015
2024-Q2,sector_manufacturing_yoy,2026-05-30,4.7,4.7,2026-06-13,2015
2024-Q3,sector_manufacturing_yoy,2026-05-30,5.6,5.6,2026-06-13,2015
2024-Q4,sector_manufacturing_yoy,2026-05-30,4.2,4.2,2026-06-13,2015
2025-Q1,sector_manufacturing_yoy,2026-05-30,4.2,4.2,2026-06-13,2015
2025-Q2,sector_manufacturing_yoy,2026-05-30,3.7,3.7,2026-06-13,2015
2025-Q3,sector_manufacturing_yoy,2026-05-30,4.1,4.1,2026-06-13,2015
2025-Q4,sector_manufacturing_yoy,2026-05-30,6.0,6.0,2026-06-13,2015
2026-Q1,sector_manufacturing_yoy,2026-05-30,5.9,5.9,2026-06-13,2015
2016-Q1,sector_construction_yoy,2026-05-30,8.0,8.0,2026-06-13,2015
2016-Q2,sector_construction_yoy,2026-05-30,8.9,8.9,2026-06-13,2015
2016-Q3,sector_construction_yoy,2026-05-30,8.0,8.0,2026-06-13,2015
2016-Q4,sector_construction_yoy,2026-05-30,5.0,5.0,2026-06-13,2015
2017-Q1,sector_construction_yoy,2026-05-30,6.8,6.8,2026-06-13,2015
2017-Q2,sector_construction_yoy,2026-05-30,8.3,8.3,2026-06-13,2015
2017-Q3,sector_construction_yoy,2026-05-30,6.2,6.2,2026-06-13,2015
2017-Q4,sector_construction_yoy,2026-05-30,5.9,5.9,2026-06-13,2015
2018-Q1,sector_construction_yoy,2026-05-30,4.9,4.9,2026-06-13,2015
2018-Q2,sector_construction_yoy,2026-05-30,4.8,4.8,2026-06-13,2015
2018-Q3,sector_construction_yoy,2026-05-30,4.7,4.7,2026-06-13,2015
2018-Q4,sector_construction_yoy,2026-05-30,2.5,2.5,2026-06-13,2015
2019-Q1,sector_construction_yoy,2026-05-30,0.6,0.6,2026-06-13,2015
2019-Q2,sector_construction_yoy,2026-05-30,1.1,1.1,2026-06-13,2015
2019-Q3,sector_construction_yoy,2026-05-30,-1.4,-1.4,2026-06-13,2015
2019-Q4,sector_construction_yoy,2026-05-30,1.3,1.3,2026-06-13,2015
2020-Q1,sector_construction_yoy,2026-05-30,-7.9,-7.9,2026-06-13,2015
2020-Q2,sector_construction_yoy,2026-05-30,-44.3,-44.3,2026-06-13,2015
2020-Q3,sector_construction_yoy,2026-05-30,-12.2,-12.2,2026-06-13,2015
2020-Q4,sector_construction_yoy,2026-05-30,-13.7,-13.7,2026-06-13,2015
2021-Q1,sector_construction_yoy,2026-05-30,-10.5,-10.5,2026-06-13,2015
2021-Q2,sector_construction_yoy,2026-05-30,40.3,40.3,2026-06-13,2015
2021-Q3,sector_construction_yoy,2026-05-30,-20.6,-20.6,2026-06-13,2015
2021-Q4,sector_construction_yoy,2026-05-30,-12.1,-12.1,2026-06-13,2015
2022-Q1,sector_construction_yoy,2026-05-30,-6.0,-6.0,2026-06-13,2015
2022-Q2,sector_construction_yoy,2026-05-30,2.7,2.7,2026-06-13,2015
2022-Q3,sector_construction_yoy,2026-05-30,15.2,15.2,2026-06-13,2015
2022-Q4,sector_construction_yoy,2026-05-30,10.3,10.3,2026-06-13,2015
2023-Q1,sector_construction_yoy,2026-05-30,7.1,7.1,2026-06-13,2015
2023-Q2,sector_construction_yoy,2026-05-30,5.8,5.8,2026-06-13,2015
2023-Q3,sector_construction_yoy,2026-05-30,7.6,7.6,2026-06-13,2015
2023-Q4,sector_construction_yoy,2026-05-30,3.3,3.3,2026-06-13,2015
2024-Q1,sector_construction_yoy,2026-05-30,11.8,11.8,2026-06-13,2015
2024-Q2,sector_construction_yoy,2026-05-30,17.5,17.5,2026-06-13,2015
2024-Q3,sector_construction_yoy,2026-05-30,20.1,20.1,2026-06-13,2015
2024-Q4,sector_construction_yoy,2026-05-30,20.9,20.9,2026-06-13,2015
2025-Q1,sector_construction_yoy,2026-05-30,14.2,14.2,2026-06-13,2015
2025-Q2,sector_construction_yoy,2026-05-30,12.1,12.1,2026-06-13,2015
2025-Q3,sector_construction_yoy,2026-05-30,11.7,11.7,2026-06-13,2015
2025-Q4,sector_construction_yoy,2026-05-30,10.9,10.9,2026-06-13,2015
2026-Q1,sector_construction_yoy,2026-05-30,7.7,7.7,2026-06-13,2015
2016-Q1,sector_services_yoy,2026-05-30,5.2,5.2,2026-06-13,2015
2016-Q2,sector_services_yoy,2026-05-30,5.8,5.8,2026-06-13,2015
2016-Q3,sector_services_yoy,2026-05-30,6.2,6.2,2026-06-13,2015
2016-Q4,sector_services_yoy,2026-05-30,5.6,5.6,2026-06-13,2015
2017-Q1,sector_services_yoy,2026-05-30,5.9,5.9,2026-06-13,2015
2017-Q2,sector_services_yoy,2026-05-30,6.4,6.4,2026-06-13,2015
2017-Q3,sector_services_yoy,2026-05-30,6.6,6.6,2026-06-13,2015
2017-Q4,sector_services_yoy,2026-05-30,6.3,6.3,2026-06-13,2015
2018-Q1,sector_services_yoy,2026-05-30,6.6,6.6,2026-06-13,2015
2018-Q2,sector_services_yoy,2026-05-30,6.6,6.6,2026-06-13,2015
2018-Q3,sector_services_yoy,2026-05-30,7.3,7.3,2026-06-13,2015
2018-Q4,sector_services_yoy,2026-05-30,6.9,6.9,2026-06-13,2015
2019-Q1,sector_services_yoy,2026-05-30,6.4,6.4,2026-06-13,2015
2019-Q2,sector_services_yoy,2026-05-30,6.1,6.1,2026-06-13,2015
2019-Q3,sector_services_yoy,2026-05-30,5.9,5.9,2026-06-13,2015
2019-Q4,sector_services_yoy,2026-05-30,6.2,6.2,2026-06-13,2015
2020-Q1,sector_services_yoy,2026-05-30,3.2,3.2,2026-06-13,2015
2020-Q2,sector_services_yoy,2026-05-30,-15.9,-15.9,2026-06-13,2015
2020-Q3,sector_services_yoy,2026-05-30,-3.6,-3.6,2026-06-13,2015
2020-Q4,sector_services_yoy,2026-05-30,-4.5,-4.5,2026-06-13,2015
2021-Q1,sector_services_yoy,2026-05-30,-2.0,-2.0,2026-06-13,2015
2021-Q2,sector_services_yoy,2026-05-30,14.0,14.0,2026-06-13,2015
2021-Q3,sector_services_yoy,2026-05-30,-4.4,-4.4,2026-06-13,2015
2021-Q4,sector_services_yoy,2026-05-30,3.3,3.3,2026-06-13,2015
2022-Q1,sector_services_yoy,2026-05-30,6.5,6.5,2026-06-13,2015
2022-Q2,sector_services_yoy,2026-05-30,12.6,12.6,2026-06-13,2015
2022-Q3,sector_services_yoy,2026-05-30,17.2,17.2,2026-06-13,2015
2022-Q4,sector_services_yoy,2026-05-30,9.3,9.3,2026-06-13,2015
2023-Q1,sector_services_yoy,2026-05-30,7.3,7.3,2026-06-13,2015
2023-Q2,sector_services_yoy,2026-05-30,4.4,4.4,2026-06-13,2015
2023-Q3,sector_services_yoy,2026-05-30,5.0,5.0,2026-06-13,2015
2023-Q4,sector_services_yoy,2026-05-30,4.2,4.2,2026-06-13,2015
2024-Q1,sector_services_yoy,2026-05-30,4.8,4.8,2026-06-13,2015
2024-Q2,sector_services_yoy,2026-05-30,6.0,6.0,2026-06-13,2015
2024-Q3,sector_services_yoy,2026-05-30,5.2,5.2,2026-06-13,2015
2024-Q4,sector_services_yoy,2026-05-30,5.4,5.4,2026-06-13,2015
2025-Q1,sector_services_yoy,2026-05-30,5.1,5.1,2026-06-13,2015
2025-Q2,sector_services_yoy,2026-05-30,5.1,5.1,2026-06-13,2015
2025-Q3,sector_services_yoy,2026-05-30,5.3,5.3,2026-06-13,2015
2025-Q4,sector_services_yoy,2026-05-30,6.2,6.2,2026-06-13,2015
2026-Q1,sector_services_yoy,2026-05-30,5.6,5.6,2026-06-13,2015
